,Subcategory,Method1_Mean,Method1_CI_Low,Method1_CI_High,Directory
0,Accuracy and Completeness of Citations,-0.0005604177843731155,-1.3457394372493847,1.3446186016806383,Claude
1,Accuracy of Information,-8.488180929928404,-11.72759679332213,-5.248765066534679,Claude
2,Appropriateness of Professional Terminology Use,-24.529689846193975,-30.527299790722005,-18.532079901665945,Claude
3,Avoidance of Plagiarism and Appropriate Citation,-0.20803505511385584,-0.4407007512487868,0.024630641021075123,Claude
4,Clarity of Logical Structure,22.02825345122,11.430578395097912,32.62592850734209,Claude
5,Clarity of Research Method Description,-19.78690032537848,-24.314990370181345,-15.258810280575613,Claude
6,Comprehensiveness of Information,-2.8278022713198863,-8.107374603214321,2.451770060574549,Claude
7,Conciseness of Expression,98.81234850848492,94.46485087161422,103.15984614535562,Claude
8,Critical Analysis of Existing Research,8.373413302937008,1.4592935840571073,15.287533021816909,Claude
9,Feasibility of Proposed Suggestions,77.56218288247483,70.36231333940535,84.76205242554431,Claude
10,Fluency of Language Expression,98.17128381605608,93.57384441585357,102.76872321625858,Claude
11,Identification and Discussion of Research Limitations,45.290984875035875,35.49910027886605,55.0828694712057,Claude
12,Inclusion of Latest Research Results,4.375327683648813,1.5251326840053485,7.225522683292277,Claude
13,Innovativeness of Viewpoints,71.74018732128775,62.772545858881735,80.70782878369377,Claude
14,Integration of Interdisciplinary Perspectives,24.43821776309353,13.58014315869197,35.29629236749509,Claude
15,Logic of Argumentation,15.155454331683622,6.579701807078756,23.731206856288487,Claude
16,Multi-angle Analysis of Problems,24.023464111181934,15.178814497402742,32.86811372496113,Claude
17,Potential Contribution to the Field,27.313317162365554,18.873880480199226,35.75275384453188,Claude
18,Practical Application Potential of Research Results,33.835690808183884,24.126327952592767,43.545053663775,Claude
19,Proposal of New Research Directions or Questions,84.45137834690443,77.97142786422583,90.93132882958304,Claude
20,Quality of Introduction and Conclusion,83.96298948992552,76.23821408968566,91.68776489016538,Claude
21,Rationality of Method Selection,-7.171419623284147,-13.084018834772047,-1.258820411796247,Claude
22,Reasonableness of Chapter Arrangement,17.889220235549622,7.661658708578377,28.116781762520866,Claude
23,Reflection of Current Research Hotspots,57.02259097285229,47.541257773769146,66.50392417193544,Claude
24,Rigor of Research Design,-16.682853294061438,-21.709362303690725,-11.656344284432151,Claude
25,Timeliness and Relevance of References,0.5434338455674136,-0.07168022837017318,1.1585479195050004,Claude
26,Topic Relevance,18.43289127274517,7.922024405342153,28.943758140148187,Claude
27,Accuracy and Completeness of Citations,-10.896671836404687,-16.39378811445202,-5.399555558357357,Qwen2-72B
28,Accuracy of Information,-37.67184594186426,-45.852084552533384,-29.49160733119514,Qwen2-72B
29,Appropriateness of Professional Terminology Use,-5.371491557512139,-11.642581594811524,0.8995984797872447,Qwen2-72B
30,Avoidance of Plagiarism and Appropriate Citation,-15.380839687708804,-22.799147416658037,-7.962531958759571,Qwen2-72B
31,Clarity of Logical Structure,-13.438223061478809,-20.486160535194514,-6.390285587763101,Qwen2-72B
32,Clarity of Research Method Description,-8.909008833500266,-14.876434024625084,-2.9415836423754476,Qwen2-72B
33,Comprehensiveness of Information,-13.316346360372108,-19.81073433125571,-6.821958389488508,Qwen2-72B
34,Conciseness of Expression,3.3099507072180794,-4.405854430065403,11.02575584450156,Qwen2-72B
35,Critical Analysis of Existing Research,-4.206533017590158,-10.529256879453285,2.1161908442729684,Qwen2-72B
36,Feasibility of Proposed Suggestions,2.6580543892025976,-4.713188197031442,10.029296975436639,Qwen2-72B
37,Fluency of Language Expression,1.331986032270876,-6.743536519753075,9.407508584294828,Qwen2-72B
38,Identification and Discussion of Research Limitations,-4.097800705937926,-10.438986923906429,2.243385512030576,Qwen2-72B
39,Inclusion of Latest Research Results,-4.9293217557910705,-10.23597309084811,0.3773295792659699,Qwen2-72B
40,Innovativeness of Viewpoints,1.3586202636710565,-5.4068498344583045,8.124090361800418,Qwen2-72B
41,Integration of Interdisciplinary Perspectives,-10.287985043093624,-16.410473691129148,-4.165496395058101,Qwen2-72B
42,Logic of Argumentation,-5.085712283263861,-10.991889907893498,0.8204653413657752,Qwen2-72B
43,Multi-angle Analysis of Problems,-5.724097847575685,-11.233298919786293,-0.21489677536507568,Qwen2-72B
44,Potential Contribution to the Field,-0.8154336155479815,-7.598372622114711,5.967505391018747,Qwen2-72B
45,Practical Application Potential of Research Results,-2.8902255608778313,-9.188132191791354,3.4076810700356903,Qwen2-72B
46,Proposal of New Research Directions or Questions,7.391203246961409,0.3973705510411971,14.38503594288162,Qwen2-72B
47,Quality of Introduction and Conclusion,1.108362530843841,-6.818758357561393,9.035483419249074,Qwen2-72B
48,Rationality of Method Selection,-7.61245665515693,-13.317364459613568,-1.9075488507002936,Qwen2-72B
49,Reasonableness of Chapter Arrangement,-11.520933195308187,-18.114699419011608,-4.927166971604764,Qwen2-72B
50,Reflection of Current Research Hotspots,-2.9946936488070737,-9.245437771536135,3.256050473921988,Qwen2-72B
51,Rigor of Research Design,-8.04403621813109,-13.762911570850342,-2.3251608654118394,Qwen2-72B
52,Timeliness and Relevance of References,-4.266964053602555,-9.510626238844978,0.9766981316398677,Qwen2-72B
53,Topic Relevance,-31.831754988606463,-41.2843562149211,-22.37915376229183,Qwen2-72B
