X_Value,X_Label,Y_Value,Y_Label
1.0,Accuracy and Completeness of Citations,0,10.1002_advs.202207756_0
2.0,Accuracy of Information,1,10.1002_advs.202207756_1
3.0,Appropriateness of Professional Terminology Use,2,10.1002_advs.202207756_2
4.0,Avoidance of Plagiarism and Appropriate Citation,3,10.1002_advs.202207756_3
5.0,Clarity of Logical Structure,4,10.1002_advs.202207756_4
6.0,Clarity of Research Method Description,5,10.1021_acscatal.0c03999_0
7.0,Comprehensiveness of Information,6,10.1021_acscatal.0c03999_1
8.0,Conciseness of Expression,7,10.1021_acscatal.0c03999_2
9.0,Critical Analysis of Existing Research,8,10.1021_acscatal.0c03999_3
10.0,Feasibility of Proposed Suggestions,9,10.1021_acscatal.0c03999_4
11.0,Fluency of Language Expression,10,10.1021_acscatal.0c03999_5
12.0,Identification and Discussion of Research Limitations,11,10.1021_acscatal.0c03999_6
13.0,Inclusion of Latest Research Results,12,10.1021_acscatal.0c03999_7
14.0,Innovativeness of Viewpoints,13,10.1021_acscatal.0c03999_8
15.0,Integration of Interdisciplinary Perspectives,14,10.1021_acscatal.0c03999_9
16.0,Logic of Argumentation,15,10.1021_acscatal.0c03999_10
17.0,Multi-angle Analysis of Problems,16,10.1021_acscatal.0c03999_11
18.0,Potential Contribution to the Field,17,10.1021_acscatal.0c03999_12
19.0,Practical Application Potential of Research Results,18,10.1021_acscatal.0c03999_13
20.0,Proposal of New Research Directions or Questions,19,10.1021_acscatal.0c03999_14
21.0,Quality of Introduction and Conclusion,20,10.1021_acscatal.1c00331_0
22.0,Rationality of Method Selection,21,10.1021_acscatal.1c00331_1
23.0,Reasonableness of Chapter Arrangement,22,10.1021_acscatal.1c00331_2
24.0,Reflection of Current Research Hotspots,23,10.1021_acscatal.1c00331_3
25.0,Rigor of Research Design,24,10.1021_acscatal.1c00331_4
26.0,Timeliness and Relevance of References,25,10.1021_acscatal.3c00103_0
27.0,Topic Relevance,26,10.1021_acscatal.3c00103_1
,,27,10.1021_acscatal.3c00103_2
,,28,10.1021_acscatal.3c00103_3
,,29,10.1021_acscatal.3c00103_4
,,30,10.1021_acscatal.3c00103_5
,,31,10.1021_acscatal.3c00728_0
,,32,10.1021_acscatal.3c00728_1
,,33,10.1021_acscatal.3c00728_2
,,34,10.1021_acscatal.3c00728_3
,,35,10.1021_acscatal.3c00728_4
,,36,10.1021_acscatal.3c00728_5
,,37,10.1021_acscatal.3c00816_0
,,38,10.1021_acscatal.3c00816_1
,,39,10.1021_acscatal.3c00816_2
,,40,10.1021_acscatal.3c00816_3
,,41,10.1021_acscatal.3c00816_4
,,42,10.1021_acscatal.3c00816_5
,,43,10.1021_acscatal.7b03228_0
,,44,10.1021_acscatal.7b03228_1
,,45,10.1021_cr300096b_0
,,46,10.1021_cr300096b_1
,,47,10.1021_cr300096b_2
,,48,10.1021_cr300096b_3
,,49,10.1021_cr300096b_4
,,50,10.1021_cr300096b_5
,,51,10.1021_cr300096b_6
,,52,10.1021_cr300096b_7
,,53,10.1021_cr300096b_8
,,54,10.1021_cr300096b_9
,,55,10.1021_cr300096b_10
,,56,10.1021_cr300096b_11
,,57,10.1021_cr300096b_12
,,58,10.1021_cr300096b_13
,,59,10.1021_cr300418s_0
,,60,10.1021_cr300418s_1
,,61,10.1021_cr300418s_2
,,62,10.1021_cr300418s_3
,,63,10.1021_cr300418s_4
,,64,10.1021_cr300418s_5
,,65,10.1021_cr300418s_6
,,66,10.1021_cr300418s_7
,,67,10.1021_cr300418s_8
,,68,10.1021_cr300418s_9
,,69,10.1021_cr300418s_10
,,70,10.1021_cr5002436_0
,,71,10.1021_cr5002436_1
,,72,10.1021_cr5002436_2
,,73,10.1021_cr5002436_3
,,74,10.1021_cr5002436_4
,,75,10.1021_cr5002436_5
,,76,10.1021_cr5002436_6
,,77,10.1021_cr5002436_7
,,78,10.1021_cr900122p_0
,,79,10.1021_cr900122p_1
,,80,10.1021_cr900122p_2
,,81,10.1021_cr900122p_3
,,82,10.1021_cr900122p_4
,,83,10.1021_cr900122p_5
,,84,10.1038_s41570-019-0128-9_0
,,85,10.1038_s41570-019-0128-9_1
,,86,10.1038_s41570-019-0128-9_2
,,87,10.1038_s41570-019-0128-9_3
,,88,10.1126_science.abh0424_0
